system:index,Input_FID,Poly_unique_id,dam_count_all,dam_count_anthro,dam_count_confident,.geo
00000000000000002c77,29,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27267778506261,48.421908780613194],[-107.2726631836122,48.42188223919328],[-107.272648824553,48.421860211130756],[-107.27248173202334,48.421876902400356],[-107.27251123462958,48.42193441130161],[-107.27255298645417,48.42196931560983],[-107.27270557310318,48.42193054036562],[-107.27267778506261,48.421908780613194]]]}"
00000000000000002c78,30,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27274923776032,48.42200563552923],[-107.2727220423284,48.42199720120159],[-107.27272056973939,48.42196596542389],[-107.2727198371267,48.42194811081995],[-107.27270557310318,48.42193054036562],[-107.27255298645417,48.42196931560983],[-107.27255992729668,48.42197357958951],[-107.27256109973533,48.422000389379065],[-107.27257570113393,48.42202693087447],[-107.27258381444383,48.422058004674575],[-107.27275607618158,48.4220099153135],[-107.27274923776032,48.42200563552923]]]}"
00000000000000002c7d,31,lrb_1445,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27275607618158,48.4220099153135],[-107.27258381444383,48.422058004674575],[-107.27259129030394,48.42207568148189],[-107.27259266031125,48.422106933145464],[-107.27259349532251,48.4221247719883],[-107.27259393523389,48.422133727184224],[-107.27259447022952,48.422147140025466],[-107.2726572297987,48.422199437132356],[-107.27269077356571,48.42219881000039],[-107.27278981738667,48.422013729967624],[-107.27275607618158,48.4220099153135]]]}"
00000000000000002c7a,32,lrb_1445,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27284470599406,48.42203946639653],[-107.27281012961927,48.42201781295264],[-107.27278981738667,48.422013729967624],[-107.27269077356571,48.42219881000039],[-107.2727911177373,48.422192343613446],[-107.27283150001338,48.42219599622644],[-107.27290405588809,48.422167769907],[-107.27284470599406,48.42203946639653]]]}"
00000000000000002c7c,33,lrb_1445,0,0,0,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.27290386025265,48.42216332860176],[-107.27290405929891,48.42216779082178]]},{""type"":""Polygon"",""coordinates"":[[[-107.27296536217167,48.42203708282766],[-107.27285842769895,48.422048097499776],[-107.27284470599406,48.42203946639653],[-107.27290385830058,48.42216332807988],[-107.2729437054833,48.42215356780174],[-107.27300951792063,48.422125519289175],[-107.27304262172397,48.42211593684413],[-107.27304936508072,48.422115758974726],[-107.27296536217167,48.42203708282766]]]}]}"
00000000000000002c53,34,lrb_1445,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27307038378858,48.42198587708823],[-107.27306394052779,48.42199048095235],[-107.27304382583036,48.42199083983648],[-107.27301789816418,48.42201367300904],[-107.27298543206503,48.42203665241521],[-107.27296536217167,48.42203708282766],[-107.27304936508072,48.422115758974726],[-107.27306947984724,48.422115400086845],[-107.27309589794233,48.422105908134576],[-107.27308738892957,48.42206595072554],[-107.27313982980769,48.4220380831938],[-107.27307038378858,48.42198587708823]]]}"
00000000000000002c66,35,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27313448784902,48.42191760605565],[-107.27311510598287,48.421935819539385],[-107.27310295228352,48.42196288185965],[-107.27307692951365,48.4219812574068],[-107.27307038378858,48.42198587708823],[-107.27313982980769,48.4220380831938],[-107.2731857249108,48.42201483534102],[-107.27324475622574,48.421982419635924],[-107.27326423325012,48.42196866373659],[-107.27313448784902,48.42191760605565]]]}"
00000000000000002c68,36,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27316474798828,48.42184553639233],[-107.2731521543024,48.42186364352545],[-107.2731407334743,48.42190856038885],[-107.27313448784902,48.42191760605565],[-107.27326423325012,48.42196866373659],[-107.2732707789619,48.4219640440438],[-107.27329021115885,48.42195021660036],[-107.27328780755117,48.42189668449147],[-107.27330084129144,48.42188753247719],[-107.27330040120269,48.42187857733027],[-107.27329986594137,48.421865164567066],[-107.27316474798828,48.42184553639233]]]}"
00000000000000002c6b,37,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27321449222174,48.42175523756079],[-107.27318964254103,48.42180042273185],[-107.27316474798828,48.42184553639233],[-107.27329986594137,48.421865164567066],[-107.27329947066553,48.42185628096768],[-107.27335171355074,48.42182397164188],[-107.27336430715167,48.42180586449822],[-107.27337085282744,48.42180124481359],[-107.27321449222174,48.42175523756079]]]}"
00000000000000002c70,38,lrb_1444,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-107.27327037930684,48.42165590904884],[-107.27325227305315,48.421700916266325],[-107.27321449222174,48.42175523756079],[-107.27337085282744,48.42180124481359],[-107.27341551686534,48.42175127467189],[-107.27342206252813,48.42174665498883],[-107.27327037930684,48.42165590904884]]]}"
